"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         189,      -13.79941612,      -11.44037938,      -11.35589302,      -11.53670576,      -8.344329298
          0,           0,         190,      -13.85532901,      -11.65203145,       -11.6623133,      -11.74253481,        -8.4140412
          0,           0,         191,      -13.65710635,      -11.38198612,       -11.2646929,       -11.4921092,      -8.200850191
          0,           0,         192,      -13.64139669,      -11.54952588,      -11.24099438,      -11.54837512,      -8.183533111
          0,           0,         193,      -13.90815038,      -11.54991165,      -11.59327332,      -11.73044929,       -8.47885344
          0,           0,         194,      -13.83683128,      -11.52340095,      -11.45331875,      -11.67958078,      -8.381827974
          0,           0,         195,      -13.70797188,      -11.56130129,      -11.33951091,      -11.43248284,      -8.244879536
          0,           0,         196,      -13.76145651,      -11.49186722,      -11.37365368,      -11.60587914,      -8.298951145
          0,           0,         197,      -13.79712267,      -11.39851563,       -11.5935409,       -11.6848898,      -8.287707659
          0,           0,         198,       -13.5251634,      -11.24845964,      -11.11943445,      -11.40275267,      -8.038599448
          0,           0,         199,      -13.50978679,      -11.13088781,      -11.37995314,       -11.4253796,      -7.988323393
          0,           0,         200,      -13.41540557,       -11.0390829,      -11.46340097,       -11.4354821,      -7.868595639
          0,           0,         201,      -13.25793919,      -10.89110784,      -11.34662918,      -11.30495807,      -7.707794587
          0,           0,         202,      -13.10520765,       -10.7448485,      -11.25884472,      -11.17767547,      -7.551564779
          0,           0,         203,      -13.01614695,      -10.69317165,      -11.15898834,      -11.09819544,      -7.484344792
          0,           0,         204,      -13.00915538,      -10.72740229,      -11.19216927,      -11.12280612,      -7.510123007
          0,           0,         205,      -13.05712702,      -10.81939589,      -11.22661664,       -11.1806643,      -7.593819076
          0,           0,         206,      -13.13211944,      -10.91634221,      -11.29194183,      -11.25930079,      -7.695808734
          0,           0,         207,      -13.21947894,      -11.01640661,      -11.27244376,      -11.30997897,      -7.801537257
          0,           0,         208,      -13.31989995,      -11.11275748,      -11.41404372,      -11.41255108,      -7.909919221
          0,           0,         209,      -13.40129759,      -11.16920015,      -11.32517387,      -11.48732317,      -7.985006371
          0,           0,         210,      -13.51882428,      -11.29350129,      -11.55976094,      -11.56847651,      -8.111000231
          0,           0,         211,      -13.58757583,      -11.31248754,      -11.50672976,      -11.52807156,      -8.168961016
          0,           0,         212,      -13.63734408,      -11.40753259,      -11.56459104,      -11.65055946,      -8.219805535
